일시,일강수량(mm),평균 풍속(m/s),풍정합(100m),최다풍향(16방위),합계 일사(MJ/m2),평균 지면온도(°C)
2018-04-01,,1.5,1327,200,7.25,14.3
2018-04-02,,1.9,1626,230,14.14,17.8
2018-04-03,0.1,2.1,1834,230,6.88,17.2
2018-04-04,18.5,1.9,1644,90,19.56,15.9
2018-04-05,10.5,2,1708,90,2.15,8.9
2018-04-06,6.5,3.1,2707,270,11.19,8.7
2018-04-07,0.2,4.1,3536,270,18.24,6.2
2018-04-08,3,1.8,1577,90,7.93,5.2
2018-04-09,,1.1,917,20,21.52,10
2018-04-10,5,3.5,3026,200,17.52,13
2018-04-11,,3,2576,270,24.86,15.1
2018-04-12,,2.6,2230,320,24.56,13.6
2018-04-13,,1.3,1122,110,12.68,12.1
2018-04-14,9,1.8,1531,290,3.49,9.4
2018-04-15,,2.4,2047,270,17.29,11.4
2018-04-16,,1.6,1380,270,24.79,13.3
2018-04-17,,1.9,1609,290,24.03,14.2
2018-04-18,,1.9,1642,290,25.09,16.2
2018-04-19,,1.9,1663,290,22.36,17.5
2018-04-20,,1.3,1110,20,22.68,20.6
2018-04-21,,1.9,1599,270,26.14,21.4
2018-04-22,15.5,1.1,985,110,5.09,14.4
2018-04-23,59,2.2,1881,110,2.59,9.9
2018-04-24,3,1.4,1234,110,10.14,12.6
2018-04-25,,1.5,1294,290,24.97,16.1
2018-04-26,,2.1,1785,290,21.87,17.9
2018-04-27,,1.7,1473,290,22.9,19.3
2018-04-28,,2,1704,290,26.04,20
2018-04-29,,1.9,1637,290,24.5,20.5
2018-04-30,,1.6,1383,290,20.74,23
2018-05-01,0,1.5,1265,320,12.42,23.5
2018-05-02,12,1.9,1658,70,2.47,16
2018-05-03,1,2.7,2317,290,12.18,11.4
2018-05-04,,2.7,2320,270,27.26,17.9
2018-05-05,,2.6,2287,230,22.26,20.4
2018-05-06,22,1.1,936,90,9.31,17.2
2018-05-07,,1.2,1052,290,17.7,18.4
2018-05-08,,1.7,1510,110,23.25,21.3
2018-05-09,,1.7,1456,90,26.77,21.7
2018-05-10,,2.3,1978,270,26.53,22.5
2018-05-11,,1.8,1513,290,18.7,21
2018-05-12,32,0.9,816,50,1.32,14.6
2018-05-13,0.5,1.9,1645,270,16.37,18.4
2018-05-14,,1.4,1202,270,19.19,21.2
2018-05-15,0,1.1,934,230,21.18,25.3
2018-05-16,45,1.9,1648,200,1.6,21.6
2018-05-17,83,1.4,1228,270,3.96,21.2
2018-05-18,6.5,1.3,1117,70,5.64,18.2
2018-05-19,,1.5,1328,90,29.13,21.2
2018-05-20,,1.4,1186,90,14.42,16.9
2018-05-21,,1.4,1217,110,24.59,21.8
2018-05-22,12.5,1.1,949,290,10.87,19
2018-05-23,6.5,2.5,2133,320,29.2,21.9
2018-05-24,,2.2,1913,230,27.02,22.1
2018-05-25,,1.8,1552,290,25.48,23.1
2018-05-26,,1.4,1223,290,26.86,26.3
2018-05-27,,1.7,1500,320,17.12,23.6
2018-05-28,,1.6,1404,270,26.49,27.9
2018-05-29,1,1.8,1558,290,13.34,25.2
2018-05-30,0,1.9,1656,270,21.67,24.8
2018-05-31,,1.9,1618,290,26.94,28.3
2018-06-01,,1.9,1639,290,27.94,30.6
2018-06-02,,2,1744,270,28.49,30.8
2018-06-03,,1.6,1425,270,27.18,31
2018-06-04,,1.9,1601,290,21.13,27.4
2018-06-05,,1.7,1437,290,24.35,30.7
2018-06-06,,2,1745,270,26.6,30.9
2018-06-07,,2,1740,270,24.04,30
2018-06-08,,2.1,1773,290,18.52,31.1
2018-06-09,0.5,1.4,1205,90,20.24,29.7
2018-06-10,0.5,1.4,1189,90,12.82,23.7
2018-06-11,5,1.4,1231,70,11.27,24.5
2018-06-12,0,1.7,1508,290,23.45,26.2
2018-06-13,0,1.5,1319,50,15.75,25.3
2018-06-14,29,1.1,981,90,10.34,22.7
2018-06-15,16.5,1.4,1238,90,23.64,24
2018-06-16,,1.4,1251,290,28.06,26.8
2018-06-17,,1.3,1158,270,14.78,25.3
2018-06-18,,1.5,1337,290,26.17,30.4
2018-06-19,,1.8,1550,250,17.65,26.4
2018-06-20,,2.3,2024,290,24.52,28.9
2018-06-21,,2.2,1882,290,28.21,32.2
2018-06-22,,1.8,1579,290,27.4,30.6
2018-06-23,,2,1724,270,22.19,30.7
2018-06-24,,1.9,1647,270,25.7,32.8
2018-06-25,,1.2,1027,290,20.44,31.7
2018-06-26,71.5,2.4,2031,230,1.29,22.5
2018-06-27,1,2,1693,250,13.56,23.7
2018-06-28,26.5,1.1,993,180,9.31,24.5
2018-06-29,6.5,1.5,1279,270,18.79,26.6
2018-06-30,14.5,0.9,749,50,8.76,24.7
2018-07-01,83.5,0.8,707,110,2.09,22.2
2018-07-02,59.5,0.7,592,50,4.73,23.5
2018-07-03,0.1,0.8,724,70,22.88,29.1
2018-07-04,,1.7,1475,290,22.43,30
2018-07-05,0.5,1.2,1008,90,10.88,27
2018-07-06,,1.8,1533,90,15.83,27
2018-07-07,,1.6,1346,90,27.32,30.9
2018-07-08,,1.5,1259,90,23.98,29.8
2018-07-09,14,1.1,932,90,4,22.4
2018-07-10,16.5,0.7,608,110,5.92,23.9
2018-07-11,3,1.3,1155,50,8.74,26.9
2018-07-12,1,1.5,1285,290,9.92,27
2018-07-13,,1.8,1575,290,15.6,28.9
2018-07-14,0,1.9,1646,290,21.51,30.6
2018-07-15,,1.6,1346,290,22.91,32.6
2018-07-16,,1.7,1486,290,26.67,33.4
2018-07-17,,1.7,1503,290,25.57,34.3
2018-07-18,,1.6,1352,290,25.14,34.2
